codigo_gerencial;demonstrativo;grupo_macro;nome;nivel;natureza;sinal_padrao;aceita_depara;observacao;dfc_numero;dfc_codigo;dfc_descricao
DRE;DRE;Resultado;DRE Gerencial;1;Sintetica;Neutro;nao;;;;
DRE.01;DRE;Receita;Receita bruta;2;Sintetica;Neutro;nao;;;;
DRE.01.01;DRE;Receita;Venda de mercadorias;3;Sintetica;Neutro;nao;;;;
DRE.01.01.01;DRE;Receita;Vendas no mercado interno;4;Sintetica;Neutro;nao;;;;
DRE.01.01.01.01;DRE;Receita;Mercadorias a vista;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.01.01.02;DRE;Receita;Mercadorias a prazo;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.01.02;DRE;Receita;Canais digitais e marketplaces;4;Sintetica;Neutro;nao;;;;
DRE.01.01.02.01;DRE;Receita;E-commerce e marketplaces;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.01.03;DRE;Receita;Mercado externo;4;Sintetica;Neutro;nao;;;;
DRE.01.01.03.01;DRE;Receita;Exportacao de mercadorias;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.01.04;DRE;Receita;Outras vendas de mercadorias;4;Sintetica;Neutro;nao;;;;
DRE.01.01.04.01;DRE;Receita;Outras vendas de mercadorias;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.02;DRE;Receita;Venda de produtos;3;Sintetica;Neutro;nao;;;;
DRE.01.02.01;DRE;Receita;Produtos e industrializacao;4;Sintetica;Neutro;nao;;;;
DRE.01.02.01.01;DRE;Receita;Produtos proprios;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.02.01.02;DRE;Receita;Produtos industrializados por terceiros;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.02.02;DRE;Receita;Mercado externo;4;Sintetica;Neutro;nao;;;;
DRE.01.02.02.01;DRE;Receita;Exportacao de produtos;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.02.03;DRE;Receita;Outras vendas de produtos;4;Sintetica;Neutro;nao;;;;
DRE.01.02.03.01;DRE;Receita;Outras vendas de produtos;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.03;DRE;Receita;Prestacao de servicos;3;Sintetica;Neutro;nao;;;;
DRE.01.03.01;DRE;Receita;Servicos recorrentes;4;Sintetica;Neutro;nao;;;;
DRE.01.03.01.01;DRE;Receita;Servicos recorrentes;5;Analitica;Credito;sim;;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.03.01.02;DRE;Receita;Servicos recorrentes mensais;5;Analitica;Credito;sim;Detalhamento inspirado no plano Hubcount.;2;DFC.OP.CLIENTES;Valores recebidos de clientes
DRE.01.03.02;DRE;Receita;Projetos, avulsos e consultorias;4;Sintetica;Neutro;nao;;;;
