codigo_gerencial;nome;grupo_macro;nivel;natureza;destino_dfc;descricao_dfc;observacao
DRE;DRE Gerencial;Resultado;1;Sintetica;;;
DRE.01;Receita bruta;Receita;2;Sintetica;;;
DRE.01.01;Venda de mercadorias;Receita;3;Sintetica;;;
DRE.01.01.01;Vendas no mercado interno;Receita;4;Sintetica;;;
DRE.01.01.01.01;Mercadorias a vista;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.01.01.02;Mercadorias a prazo;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.01.02;Canais digitais e marketplaces;Receita;4;Sintetica;;;
DRE.01.01.02.01;E-commerce e marketplaces;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.01.03;Mercado externo;Receita;4;Sintetica;;;
DRE.01.01.03.01;Exportacao de mercadorias;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.01.04;Outras vendas de mercadorias;Receita;4;Sintetica;;;
DRE.01.01.04.01;Outras vendas de mercadorias;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.02;Venda de produtos;Receita;3;Sintetica;;;
DRE.01.02.01;Produtos e industrializacao;Receita;4;Sintetica;;;
DRE.01.02.01.01;Produtos proprios;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.02.01.02;Produtos industrializados por terceiros;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
DRE.01.02.02;Mercado externo;Receita;4;Sintetica;;;
DRE.01.02.02.01;Exportacao de produtos;Receita;5;Analitica;DFC.OP.CLIENTES;Valores recebidos de clientes;"preenchido automaticamente; edite destino_dfc se quiser mudar"
