codigo_gerencial;demonstrativo;nome;grupo_macro;nivel;natureza;dfc_numero;destino_dfc;descricao_dfc;observacao
DRE;DRE;DRE Gerencial;Resultado;1;Sintetica;;;;
DRE.01;DRE;Receita bruta;Receita;2;Sintetica;;;;
DRE.01.01;DRE;Venda de mercadorias;Receita;3;Sintetica;;;;
DRE.01.01.01;DRE;Vendas no mercado interno;Receita;4;Sintetica;;;;
DRE.01.01.01.01;DRE;Mercadorias a vista;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.01.01.02;DRE;Mercadorias a prazo;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.01.02;DRE;Canais digitais e marketplaces;Receita;4;Sintetica;;;;
DRE.01.01.02.01;DRE;E-commerce e marketplaces;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.01.03;DRE;Mercado externo;Receita;4;Sintetica;;;;
DRE.01.01.03.01;DRE;Exportacao de mercadorias;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.01.04;DRE;Outras vendas de mercadorias;Receita;4;Sintetica;;;;
DRE.01.01.04.01;DRE;Outras vendas de mercadorias;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.02;DRE;Venda de produtos;Receita;3;Sintetica;;;;
DRE.01.02.01;DRE;Produtos e industrializacao;Receita;4;Sintetica;;;;
DRE.01.02.01.01;DRE;Produtos proprios;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.02.01.02;DRE;Produtos industrializados por terceiros;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.02.02;DRE;Mercado externo;Receita;4;Sintetica;;;;
DRE.01.02.02.01;DRE;Exportacao de produtos;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.02.03;DRE;Outras vendas de produtos;Receita;4;Sintetica;;;;
DRE.01.02.03.01;DRE;Outras vendas de produtos;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03;DRE;Prestacao de servicos;Receita;3;Sintetica;;;;
DRE.01.03.01;DRE;Servicos recorrentes;Receita;4;Sintetica;;;;
DRE.01.03.01.01;DRE;Servicos recorrentes;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.01.02;DRE;Servicos recorrentes mensais;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.02;DRE;Projetos, avulsos e consultorias;Receita;4;Sintetica;;;;
DRE.01.03.02.01;DRE;Servicos avulsos e projetos;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.02.02;DRE;Consultorias e honorarios;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.03;DRE;Servicos digitais, eventos e treinamentos;Receita;4;Sintetica;;;;
DRE.01.03.03.01;DRE;Servicos digitais;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.03.02;DRE;Receitas de eventos, cursos e treinamentos;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.04;DRE;Outras receitas de servicos;Receita;4;Sintetica;;;;
DRE.01.03.04.01;DRE;Outras receitas de servicos;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.03.04.02;DRE;Servicos prestados a prazo;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.04;DRE;Receitas recorrentes e acessorias;Receita;3;Sintetica;;;;
DRE.01.04.01;DRE;Receitas recorrentes;Receita;4;Sintetica;;;;
DRE.01.04.01.01;DRE;Locacoes;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.04.01.02;DRE;Assinaturas e mensalidades;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.04.02;DRE;Licencas e partes relacionadas;Receita;4;Sintetica;;;;
DRE.01.04.02.01;DRE;Royalties e licencas;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.04.02.02;DRE;Receitas intercompany;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.01.04.03;DRE;Outras receitas brutas;Receita;4;Sintetica;;;;
DRE.01.04.03.01;DRE;Outras receitas brutas;Receita;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.02;DRE;Deducoes da receita;Deducoes;2;Sintetica;;;;
DRE.02.01;DRE;Impostos sobre receita;Deducoes;3;Sintetica;;;;
DRE.02.01.01;DRE;Tributos federais sobre receita;Deducoes;4;Sintetica;;;;
DRE.02.01.01.01;DRE;PIS sobre receita;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.01.02;DRE;COFINS sobre receita;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.01.03;DRE;IPI sobre vendas;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.01.04;DRE;Simples Nacional DAS;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.01.05;DRE;INSS sobre faturamento;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.01.06;DRE;Retencoes sobre servicos prestados;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.02;DRE;Tributos estaduais sobre receita;Deducoes;4;Sintetica;;;;
DRE.02.01.02.01;DRE;ICMS sobre vendas;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.03;DRE;Tributos municipais sobre receita;Deducoes;4;Sintetica;;;;
DRE.02.01.03.01;DRE;ISS sobre servicos;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.01.04;DRE;Outras deducoes tributarias;Deducoes;4;Sintetica;;;;
DRE.02.01.04.01;DRE;Outros impostos sobre receita;Deducoes;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.02.02;DRE;Cancelamentos e descontos;Deducoes;3;Sintetica;;;;
DRE.02.02.01;DRE;Devolucoes e cancelamentos;Deducoes;4;Sintetica;;;;
DRE.02.02.01.01;DRE;Devolucoes de vendas;Deducoes;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.02.02.01.02;DRE;Vendas canceladas;Deducoes;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.02.02.02;DRE;Abatimentos e descontos;Deducoes;4;Sintetica;;;;
DRE.02.02.02.01;DRE;Abatimentos comerciais;Deducoes;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.02.02.02.02;DRE;Descontos incondicionais;Deducoes;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.02.02.03;DRE;Bonificacoes e outras deducoes;Deducoes;4;Sintetica;;;;
DRE.02.02.03.01;DRE;Bonificacoes como deducao;Deducoes;5;Analitica;2;DFC.OP.CLIENTES;Valores recebidos de clientes;preenchido pelo plano gerencial editavel
DRE.03;DRE;Receita liquida;Receita Liquida;2;Subtotal;;;;
DRE.04;DRE;Custos diretos;Custos;2;Sintetica;;;;
DRE.04.01;DRE;CMV - Comercio;Custos das mercadorias;3;Sintetica;;;;
DRE.04.01.01;DRE;Estoques de mercadorias;Custos das mercadorias;4;Sintetica;;;;
DRE.04.01.01.01;DRE;Estoque inicial de mercadorias;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.01.02;DRE;Estoque final de mercadorias;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.02;DRE;Compras, fretes e aquisicoes;Custos das mercadorias;4;Sintetica;;;;
DRE.04.01.02.01;DRE;Compras de mercadorias;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.02.02;DRE;Fretes sobre compras;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.03;DRE;Tributos sobre compras;Custos das mercadorias;4;Sintetica;;;;
DRE.04.01.03.01;DRE;Impostos nao recuperaveis nas compras;Custos das mercadorias;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.04.01.03.02;DRE;Impostos recuperaveis sobre compras;Custos das mercadorias;5;Analitica;8;DFC.OP.TRIBUTOS;Tributos pagos;preenchido pelo plano gerencial editavel
DRE.04.01.04;DRE;Ajustes, transferencias e perdas;Custos das mercadorias;4;Sintetica;;;;
DRE.04.01.04.01;DRE;Bonificacoes recebidas;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.04.02;DRE;Bonificacoes concedidas;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.04.03;DRE;Transferencias entre filiais;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.04.04;DRE;Baixas e perdas de estoque;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.01.05;DRE;Outros custos de mercadorias;Custos das mercadorias;4;Sintetica;;;;
DRE.04.01.05.01;DRE;Outros custos de mercadorias;Custos das mercadorias;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02;DRE;CPV - Industria;Custos dos produtos;3;Sintetica;;;;
DRE.04.02.01;DRE;Materiais e insumos industriais;Custos dos produtos;4;Sintetica;;;;
DRE.04.02.01.01;DRE;Materia prima e insumos;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.02;DRE;Mao de obra industrial;Custos dos produtos;4;Sintetica;;;;
DRE.04.02.02.01;DRE;Mao de obra direta industrial;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.03;DRE;Custos indiretos de fabricacao;Custos dos produtos;4;Sintetica;;;;
DRE.04.02.03.01;DRE;Custos indiretos de fabricacao;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.03.02;DRE;Energia e utilidades da producao;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.03.03;DRE;Manutencao industrial;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.04;DRE;Terceirizacao industrial;Custos dos produtos;4;Sintetica;;;;
DRE.04.02.04.01;DRE;Terceirizacao industrial;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.05;DRE;Depreciacao fabril;Custos dos produtos;4;Sintetica;;;;
DRE.04.02.05.01;DRE;Depreciacao fabril;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.02.06;DRE;Perdas industriais;Custos dos produtos;4;Sintetica;;;;
DRE.04.02.06.01;DRE;Perdas industriais;Custos dos produtos;5;Analitica;3;DFC.OP.FORNECEDORES;Valores pagos a fornecedores;preenchido pelo plano gerencial editavel
DRE.04.03;DRE;CSP - Servicos;Custos dos serviços;3;Sintetica;;;;
DRE.04.03.01;DRE;Mao de obra e encargos de servicos;Custos dos serviços;4;Sintetica;;;;
DRE.04.03.01.01;DRE;Mao de obra direta de servicos;Custos dos serviços;5;Analitica;4;DFC.OP.EMPREGADOS;Valores pagos a empregados;preenchido pelo plano gerencial editavel
